Date,Station,Category,Value
2021-10-17,Paya Lebar,Min Temperature,24
2021-02-12,Paya Lebar,Max Humidity,94.23
2021-01-04,Paya Lebar,Max Humidity,100.0
2021-08-22,Paya Lebar,Min Temperature,23
2021-06-29,Paya Lebar,Max Humidity,100.0
2021-07-12,Paya Lebar,Max Humidity,100.0
2021-10-01,Paya Lebar,Min Temperature,24
2021-01-26,Paya Lebar,Min Humidity,49.1
2011-01-30,Paya Lebar,Min Temperature,23
2021-11-04,Paya Lebar,Max Humidity,100.0
2021-02-07,Paya Lebar,Max Temperature,33
2021-07-12,Paya Lebar,Max Temperature,34
2011-04-28,Paya Lebar,Max Temperature,34
2021-05-18,Paya Lebar,Max Humidity,100.0
2011-12-09,Paya Lebar,Min Humidity,55.77
2021-01-02,Paya Lebar,Max Humidity,100.0
2021-07-04,Paya Lebar,Max Humidity,100.0
2021-07-29,Paya Lebar,Min Humidity,46.14
2011-11-13,Paya Lebar,Max Humidity,100.0
2011-09-26,Paya Lebar,Max Humidity,100.0
2021-05-21,Paya Lebar,Max Humidity,100.0
2011-08-20,Paya Lebar,Max Temperature,33
2011-05-08,Paya Lebar,Max Temperature,36
2021-11-21,Paya Lebar,Max Humidity,100.0
2021-03-19,Paya Lebar,Max Temperature,34
2021-06-25,Paya Lebar,Max Humidity,100.0
2021-04-17,Paya Lebar,Max Humidity,100.0
2011-02-06,Paya Lebar,Min Temperature,24
2021-03-03,Paya Lebar,Max Temperature,34
2021-05-20,Paya Lebar,Max Humidity,100.0
2021-12-31,Paya Lebar,Min Temperature,24
2021-03-18,Paya Lebar,Max Temperature,34
2021-11-05,Paya Lebar,Max Humidity,100.0
2021-09-06,Paya Lebar,Max Temperature,34
2021-10-07,Paya Lebar,Max Temperature,34
2011-02-17,Paya Lebar,Max Temperature,34
2011-08-06,Paya Lebar,Max Temperature,33
2021-10-17,Paya Lebar,Max Humidity,100.0
2011-11-05,Paya Lebar,Min Humidity,52.48
2011-04-11,Paya Lebar,Max Humidity,100.0
2011-10-16,Paya Lebar,Min Humidity,49.1
2011-08-05,Paya Lebar,Max Temperature,33
2021-08-25,Paya Lebar,Max Humidity,100.0
2011-02-11,Paya Lebar,Max Temperature,34
2021-03-08,Paya Lebar,Max Temperature,34
2021-08-02,Paya Lebar,Max Temperature,33
2021-10-22,Paya Lebar,Max Humidity,100.0
2021-10-01,Paya Lebar,Max Humidity,100.0
2021-06-13,Paya Lebar,Max Humidity,100.0
2021-07-05,Paya Lebar,Max Humidity,100.0
2021-09-21,Paya Lebar,Max Humidity,100.0
2011-08-26,Paya Lebar,Min Temperature,24
2011-03-30,Paya Lebar,Max Temperature,34
2021-08-03,Paya Lebar,Min Temperature,23
2021-03-31,Paya Lebar,Max Temperature,34
2021-12-02,Paya Lebar,Min Temperature,24
2021-05-10,Paya Lebar,Max Humidity,100.0
2011-09-25,Paya Lebar,Max Temperature,33
2021-04-24,Paya Lebar,Min Temperature,23
2011-04-17,Paya Lebar,Min Humidity,52.23
2011-11-14,Paya Lebar,Min Temperature,24
2021-05-27,Paya Lebar,Max Humidity,100.0
2011-09-17,Paya Lebar,Max Temperature,33
2011-02-07,Paya Lebar,Min Temperature,24
2011-01-10,Paya Lebar,Min Temperature,23
2021-10-17,Paya Lebar,Max Temperature,34
2011-10-11,Paya Lebar,Max Humidity,100.0
2021-08-24,Paya Lebar,Max Humidity,100.0
2021-01-11,Paya Lebar,Max Humidity,100.0
2011-04-20,Paya Lebar,Max Humidity,100.0
2021-03-03,Paya Lebar,Min Humidity,43.61
2021-02-23,Paya Lebar,Min Temperature,24
2011-12-11,Paya Lebar,Min Temperature,24
2011-03-08,Paya Lebar,Min Temperature,23
2021-12-18,Paya Lebar,Max Humidity,100.0
2021-04-05,Paya Lebar,Max Humidity,100.0
2021-11-18,Paya Lebar,Max Humidity,100.0
2021-11-01,Paya Lebar,Max Humidity,100.0
2021-08-04,Paya Lebar,Min Temperature,23
2021-04-03,Paya Lebar,Max Temperature,35
2011-04-10,Paya Lebar,Max Humidity,100.0
2021-09-10,Paya Lebar,Max Humidity,100.0
2021-12-31,Paya Lebar,Max Humidity,100.0
2021-01-01,Paya Lebar,Max Humidity,100.0
2011-04-19,Paya Lebar,Max Temperature,34
2021-03-04,Paya Lebar,Max Temperature,34
2021-05-10,Paya Lebar,Max Temperature,34
2021-03-30,Paya Lebar,Max Humidity,100.0
2011-09-02,Paya Lebar,Max Temperature,33
2011-02-05,Paya Lebar,Min Temperature,24
2021-11-30,Paya Lebar,Min Humidity,41.23
2011-01-30,Paya Lebar,Max Humidity,100.0
2021-11-02,Paya Lebar,Max Humidity,100.0
2021-04-01,Paya Lebar,Max Temperature,35
2021-05-11,Paya Lebar,Max Temperature,34
2021-07-13,Paya Lebar,Min Temperature,23
2011-12-08,Paya Lebar,Min Humidity,55.77
2021-03-17,Paya Lebar,Max Humidity,100.0
2021-04-03,Paya Lebar,Max Humidity,100.0
2011-06-30,Paya Lebar,Min Temperature,24
2021-07-11,Paya Lebar,Max Humidity,100.0
2021-09-02,Paya Lebar,Min Temperature,23
2021-11-29,Paya Lebar,Max Temperature,34
2021-04-01,Paya Lebar,Min Humidity,41.5
2021-05-17,Paya Lebar,Max Humidity,100.0
2011-02-12,Paya Lebar,Max Temperature,34
2021-12-11,Paya Lebar,Max Humidity,100.0
2011-12-03,Paya Lebar,Min Temperature,24
2011-11-28,Paya Lebar,Max Humidity,100.0
2011-08-26,Paya Lebar,Max Humidity,100.0
2021-11-07,Paya Lebar,Max Humidity,100.0
2021-08-01,Paya Lebar,Max Humidity,100.0
2021-10-23,Paya Lebar,Min Temperature,24
2011-04-15,Paya Lebar,Max Humidity,100.0
2021-01-02,Paya Lebar,Min Temperature,22
2021-05-14,Paya Lebar,Max Humidity,100.0
2011-11-06,Paya Lebar,Min Temperature,24
2021-06-21,Paya Lebar,Max Humidity,100.0
2021-06-02,Paya Lebar,Max Humidity,100.0
2021-05-28,Paya Lebar,Max Temperature,34
2021-02-25,Paya Lebar,Max Temperature,33
2011-11-20,Paya Lebar,Max Temperature,34
2011-02-08,Paya Lebar,Min Temperature,24
2011-01-31,Paya Lebar,Min Temperature,23
2021-04-24,Paya Lebar,Max Humidity,100.0
2021-01-09,Paya Lebar,Max Humidity,100.0
2021-10-06,Paya Lebar,Max Temperature,34
2021-03-06,Paya Lebar,Max Temperature,34
2021-08-05,Paya Lebar,Max Temperature,33
2011-05-08,Paya Lebar,Min Humidity,44.14
2021-08-19,Paya Lebar,Min Temperature,23
2021-04-15,Paya Lebar,Max Humidity,100.0
2021-10-15,Paya Lebar,Max Temperature,34
2021-09-29,Paya Lebar,Max Humidity,100.0
2011-12-06,Paya Lebar,Min Humidity,55.77
2011-07-27,Paya Lebar,Min Temperature,24
2021-12-19,Paya Lebar,Min Temperature,24
2011-10-27,Paya Lebar,Max Humidity,100.0
2011-06-16,Paya Lebar,Min Temperature,24
2011-04-26,Paya Lebar,Max Temperature,34
2011-12-19,Paya Lebar,Max Humidity,100.0
2021-08-20,Paya Lebar,Min Temperature,23
2021-05-09,Paya Lebar,Max Humidity,100.0
2011-10-30,Paya Lebar,Max Temperature,34
2021-04-18,Paya Lebar,Max Humidity,100.0
2021-08-04,Paya Lebar,Max Humidity,100.0
2021-11-27,Paya Lebar,Min Temperature,23
2021-09-28,Paya Lebar,Max Humidity,100.0
2011-06-30,Paya Lebar,Max Humidity,100.0
2011-09-22,Paya Lebar,Min Temperature,23
2011-09-28,Paya Lebar,Max Temperature,33
2021-04-12,Paya Lebar,Min Temperature,23
2021-04-04,Paya Lebar,Max Humidity,100.0
2021-04-06,Paya Lebar,Max Humidity,100.0
2021-06-24,Paya Lebar,Max Humidity,100.0
2011-09-13,Paya Lebar,Max Temperature,33
2011-01-05,Paya Lebar,Max Temperature,33
2011-03-08,Paya Lebar,Max Humidity,100.0
2021-12-01,Paya Lebar,Min Humidity,43.61
2011-11-05,Paya Lebar,Max Humidity,100.0
2021-10-21,Paya Lebar,Min Temperature,24
2021-08-16,Paya Lebar,Min Humidity,49.36
2021-11-28,Paya Lebar,Max Humidity,100.0
2021-08-09,Paya Lebar,Min Humidity,49.36
2021-07-13,Paya Lebar,Max Humidity,100.0
2021-09-08,Paya Lebar,Min Humidity,46.14
2011-11-06,Paya Lebar,Max Humidity,100.0
2021-08-22,Paya Lebar,Max Humidity,100.0
2021-10-27,Paya Lebar,Max Temperature,34
2011-05-12,Paya Lebar,Max Humidity,100.0
2021-06-26,Paya Lebar,Max Humidity,100.0
2011-08-05,Paya Lebar,Min Humidity,52.48
2021-10-13,Paya Lebar,Max Temperature,34
2021-11-23,Paya Lebar,Max Humidity,100.0
2011-03-11,Paya Lebar,Min Temperature,23
2021-09-02,Paya Lebar,Max Humidity,100.0
2011-02-02,Paya Lebar,Min Temperature,24
2011-04-14,Paya Lebar,Min Temperature,23
2021-06-18,Paya Lebar,Min Temperature,23
2011-10-20,Paya Lebar,Max Humidity,100.0
2011-12-23,Paya Lebar,Max Humidity,100.0
2021-02-24,Paya Lebar,Min Temperature,24
2021-04-17,Paya Lebar,Min Temperature,23
2011-09-20,Paya Lebar,Max Humidity,100.0
2011-01-05,Paya Lebar,Max Humidity,100.0
2021-09-08,Paya Lebar,Max Humidity,100.0
2021-03-07,Paya Lebar,Max Humidity,100.0
2021-03-31,Paya Lebar,Min Temperature,23
2021-03-29,Paya Lebar,Min Temperature,23
2021-02-17,Paya Lebar,Min Temperature,24
2021-11-06,Paya Lebar,Max Humidity,100.0
2011-09-28,Paya Lebar,Min Humidity,49.1
2021-12-24,Paya Lebar,Max Humidity,100.0
2021-06-23,Paya Lebar,Max Temperature,34
2021-09-27,Paya Lebar,Max Humidity,100.0
2021-11-17,Paya Lebar,Max Humidity,100.0
2011-11-07,Paya Lebar,Min Humidity,52.48
2021-02-22,Paya Lebar,Min Humidity,43.34
2021-03-08,Paya Lebar,Min Temperature,23
2021-01-01,Paya Lebar,Min Temperature,22
2011-06-08,Paya Lebar,Max Temperature,34
2021-02-06,Paya Lebar,Max Temperature,33
2021-01-28,Paya Lebar,Max Humidity,100.0
2021-02-18,Paya Lebar,Min Humidity,43.34
2021-08-19,Paya Lebar,Max Humidity,100.0
2021-12-19,Paya Lebar,Max Humidity,100.0
2011-07-13,Paya Lebar,Max Temperature,33
2021-02-11,Paya Lebar,Max Temperature,33
2011-03-17,Paya Lebar,Min Temperature,23
2011-10-04,Paya Lebar,Max Humidity,100.0
2021-03-23,Paya Lebar,Max Temperature,34
2011-06-11,Paya Lebar,Min Temperature,24
2021-01-12,Paya Lebar,Max Humidity,100.0
2021-05-08,Paya Lebar,Min Temperature,24
2021-12-27,Paya Lebar,Max Temperature,34
2011-07-04,Paya Lebar,Max Humidity,94.23
2021-06-13,Paya Lebar,Min Temperature,23
2011-02-09,Paya Lebar,Min Temperature,24
2021-11-29,Paya Lebar,Min Humidity,41.23
2021-04-02,Paya Lebar,Max Humidity,100.0
2021-03-05,Paya Lebar,Max Temperature,34
2011-05-12,Paya Lebar,Min Temperature,24
2021-04-12,Paya Lebar,Max Humidity,100.0
2021-08-08,Paya Lebar,Max Temperature,33
2021-03-18,Paya Lebar,Max Humidity,100.0
2021-02-04,Paya Lebar,Min Humidity,43.34
2021-10-02,Paya Lebar,Min Temperature,24
2011-06-04,Paya Lebar,Max Humidity,100.0
2011-06-23,Paya Lebar,Max Humidity,100.0
2021-05-03,Paya Lebar,Max Temperature,34
2011-09-30,Paya Lebar,Min Humidity,49.1
2011-01-31,Paya Lebar,Max Humidity,100.0
2021-11-27,Paya Lebar,Max Temperature,34
2011-08-15,Paya Lebar,Min Temperature,24
2011-04-02,Paya Lebar,Min Temperature,23
2011-08-29,Paya Lebar,Min Temperature,24
2021-01-13,Paya Lebar,Max Humidity,100.0
2011-08-12,Paya Lebar,Max Temperature,33
2021-10-21,Paya Lebar,Max Humidity,100.0
2021-04-16,Paya Lebar,Max Humidity,100.0
2021-08-20,Paya Lebar,Max Humidity,100.0
2011-09-30,Paya Lebar,Min Temperature,23
2021-11-27,Paya Lebar,Max Humidity,100.0
2021-03-13,Paya Lebar,Max Humidity,100.0
2021-09-07,Paya Lebar,Min Humidity,46.14
2011-02-23,Paya Lebar,Min Temperature,24
2021-10-21,Paya Lebar,Max Temperature,34
2021-05-02,Paya Lebar,Max Temperature,34
2011-12-04,Paya Lebar,Min Temperature,24
2021-08-30,Paya Lebar,Max Humidity,100.0
2011-07-15,Paya Lebar,Max Humidity,94.23
2021-03-13,Paya Lebar,Max Temperature,34
2011-11-12,Paya Lebar,Max Humidity,100.0
2021-11-10,Paya Lebar,Max Humidity,100.0
2021-02-28,Paya Lebar,Max Temperature,33
2021-09-10,Paya Lebar,Min Temperature,23
2011-09-06,Paya Lebar,Max Temperature,33
2021-08-16,Paya Lebar,Max Temperature,33
2021-05-04,Paya Lebar,Max Temperature,34
2021-08-09,Paya Lebar,Max Temperature,33
2021-03-31,Paya Lebar,Max Humidity,100.0
2011-02-21,Paya Lebar,Min Humidity,40.69
2021-01-05,Paya Lebar,Max Temperature,33
2021-05-08,Paya Lebar,Max Humidity,100.0
2021-10-20,Paya Lebar,Min Temperature,24
2011-10-16,Paya Lebar,Max Temperature,34
2011-04-22,Paya Lebar,Max Temperature,34
2011-07-29,Paya Lebar,Min Humidity,55.53
2021-01-03,Paya Lebar,Max Humidity,100.0
2021-04-28,Paya Lebar,Max Humidity,100.0
2021-03-10,Paya Lebar,Max Temperature,34
2011-06-18,Paya Lebar,Min Temperature,24
2021-08-21,Paya Lebar,Max Humidity,100.0
2021-03-08,Paya Lebar,Max Humidity,100.0
2011-01-10,Paya Lebar,Max Humidity,100.0
2011-04-14,Paya Lebar,Max Humidity,100.0
2011-08-08,Paya Lebar,Max Temperature,33
2011-12-04,Paya Lebar,Min Humidity,55.77
2021-05-30,Paya Lebar,Min Humidity,49.36
2021-03-24,Paya Lebar,Max Humidity,100.0
2021-08-10,Paya Lebar,Max Temperature,33
2011-03-30,Paya Lebar,Min Humidity,46.67
2011-09-30,Paya Lebar,Max Temperature,33
2021-02-27,Paya Lebar,Max Temperature,33
2011-07-12,Paya Lebar,Min Temperature,24
2021-10-27,Paya Lebar,Min Humidity,41.23
2011-10-12,Paya Lebar,Max Humidity,100.0
2021-03-29,Paya Lebar,Max Humidity,100.0
2021-06-23,Paya Lebar,Min Humidity,41.23
