Date,Station,Category,Value
2021-01-23,Paya Lebar,Max Humidity,100.0
2011-02-23,Paya Lebar,Max Humidity,100.0
2011-12-04,Paya Lebar,Max Humidity,100.0
2011-09-26,Paya Lebar,Min Temperature,23
2011-12-18,Paya Lebar,Max Humidity,100.0
2021-10-02,Paya Lebar,Max Humidity,100.0
2011-01-21,Paya Lebar,Min Humidity,54.55
2021-07-23,Paya Lebar,Max Temperature,34
2021-11-14,Paya Lebar,Max Temperature,34
2021-05-21,Paya Lebar,Min Temperature,24
2011-06-16,Paya Lebar,Min Humidity,52.48
2021-06-18,Paya Lebar,Max Humidity,100.0
2021-02-22,Paya Lebar,Min Temperature,24
2021-11-12,Paya Lebar,Min Temperature,23
2011-01-03,Paya Lebar,Max Humidity,100.0
2011-08-15,Paya Lebar,Max Humidity,100.0
2011-12-06,Paya Lebar,Max Temperature,34
2011-07-18,Paya Lebar,Min Humidity,55.53
2021-02-18,Paya Lebar,Min Temperature,24
2021-10-20,Paya Lebar,Max Humidity,100.0
2011-10-13,Paya Lebar,Max Humidity,100.0
2021-11-03,Paya Lebar,Max Humidity,100.0
2021-03-21,Paya Lebar,Max Temperature,34
2021-05-18,Paya Lebar,Min Temperature,24
2011-10-08,Paya Lebar,Max Humidity,100.0
2011-11-13,Paya Lebar,Min Temperature,24
2011-11-12,Paya Lebar,Min Temperature,24
2021-03-22,Paya Lebar,Max Temperature,34
2021-08-29,Paya Lebar,Max Humidity,100.0
2011-10-04,Paya Lebar,Min Temperature,22
2021-02-15,Paya Lebar,Min Temperature,24
2021-05-22,Paya Lebar,Max Humidity,100.0
2011-06-05,Paya Lebar,Min Temperature,24
2011-07-01,Paya Lebar,Max Humidity,94.23
2021-06-04,Paya Lebar,Max Temperature,34
2021-10-24,Paya Lebar,Max Temperature,34
2021-01-10,Paya Lebar,Max Humidity,100.0
2021-12-10,Paya Lebar,Max Humidity,100.0
2021-11-30,Paya Lebar,Max Temperature,34
2021-04-26,Paya Lebar,Max Humidity,100.0
2021-07-24,Paya Lebar,Min Humidity,46.14
2011-07-22,Paya Lebar,Min Temperature,24
2021-11-09,Paya Lebar,Max Humidity,100.0
